Applicant ID,Applicant Name,Interview Date,Experience (Years),Education,Interview Round,Technical Score,HR Score,Final Status,Location,Department
APP-0001,Applicant 1,2026-09-09,8,Masters,Final,73,77,Rejected,San Francisco,Product
APP-0002,Applicant 2,2026-09-08,15,PhD,HR,86,94,In Progress,London,Marketing
APP-0003,Applicant 3,2026-09-07,7,High School,Technical,99,70,In Progress,Remote,Sales
APP-0004,Applicant 4,2026-09-06,14,Bachelors,Screening,71,87,In Progress,Austin,Engineering
APP-0005,Applicant 5,2026-09-05,6,Masters,Final,84,63,Offer,New York,Product
APP-0006,Applicant 6,2026-09-04,13,PhD,HR,97,80,Rejected,San Francisco,Marketing
APP-0007,Applicant 7,2026-09-03,5,High School,Technical,69,97,In Progress,London,Sales
APP-0008,Applicant 8,2026-09-02,12,Bachelors,Screening,82,73,In Progress,Remote,Engineering
APP-0009,Applicant 9,2026-09-01,4,Masters,Final,95,90,In Progress,Austin,Product
APP-0010,Applicant 10,2026-08-31,11,PhD,HR,67,66,Offer,New York,Marketing
APP-0011,Applicant 11,2026-08-30,3,High School,Technical,80,83,Rejected,San Francisco,Sales
APP-0012,Applicant 12,2026-08-29,10,Bachelors,Screening,93,100,In Progress,London,Engineering
APP-0013,Applicant 13,2026-08-28,2,Masters,Final,65,76,In Progress,Remote,Product
APP-0014,Applicant 14,2026-08-27,9,PhD,HR,78,93,In Progress,Austin,Marketing
APP-0015,Applicant 15,2026-08-26,1,High School,Technical,91,69,Offer,New York,Sales
APP-0016,Applicant 16,2026-08-25,8,Bachelors,Screening,63,86,Rejected,San Francisco,Engineering
APP-0017,Applicant 17,2026-08-24,15,Masters,Final,76,62,In Progress,London,Product
APP-0018,Applicant 18,2026-08-23,7,PhD,HR,89,79,In Progress,Remote,Marketing
APP-0019,Applicant 19,2026-08-22,14,High School,Technical,61,96,In Progress,Austin,Sales
APP-0020,Applicant 20,2026-08-21,6,Bachelors,Screening,74,72,Offer,New York,Engineering
APP-0021,Applicant 21,2026-08-20,13,Masters,Final,87,89,Rejected,San Francisco,Product
APP-0022,Applicant 22,2026-08-19,5,PhD,HR,100,65,In Progress,London,Marketing
APP-0023,Applicant 23,2026-08-18,12,High School,Technical,72,82,In Progress,Remote,Sales
